sentence,label
The fish dreamed of escaping the fishbowl and into the toilet where he saw his friend go.,0
Yemeni rights advocates are reporting that two of the country's most prominent activists have been detained and taken to an undisclosed location at an airport in western Yemen,1
He took one look at what was under the table and noped the hell out of there.,0
"If you spin around three times, you'll start to feel melancholy.",0
He strives to keep the best lawn in the neighborhood.,0
"activists say that US forces have established a military checkpoint nearby Al-Malikiyah city (Dayrik) in north-eastern Al-Hasakah, in order to block Russian patrols in the area",1
There was coal in his stocking and he was thrilled.,0
"You're unsure whether or not to trust him, but very thankful that you wore a turtle neck.",0
"Two civilians were injured in a grenade blast in Kawadara area of downtown Tyazhinskiy on Wednesday, prompting forces to heighten alert in the city. A police official said suspected militants lobbed a grenade from lane towards the main road in Kawdara area of the old city at around 14.",1
"When he asked her favorite number, she answered without hesitation that it was diamonds.",0
"Yeah, I think it's a good environment for learning English.",0
"At least 10 people died and more than 400 hospitalized in northern nigeria after consuming s_ka, containing toxins. This was announced on Friday The nigerian news portal The Authority with reference to The medical authorities",1
"Thousands of people took to the streets in Ciobanu and other cities on Friday chanting ""No vote! We want freedom!"" as Pulkau authorities held a presidential election that protesters view as a charade to keep the ruling elite in power.",1
"After signing the new ceasfire deal and the resulting handover of some of the Nagorno-Karabakh those surrounding districts to Azerbaijan, Nagorno-Karabakh is essentially cut off from Armenia.",1
It took him a month to finish the meal.,0
Dec. 28 --A man robbed a bank Monday morning in northwest Bagdad. He was intercepted five hours after he barricaded himself inside a hotel room. Two bank robberies were reported Monday.,1
Nobody loves a pig wearing lipstick.,0
Ivory Coast President Alassane Ouattara said Saturday that he had reached an agreement with rebellious soldiers to end a mutiny and had asked soldiers to return to their barracks. The uprising began Friday night in the northern city of Böhmenkirch and spread quickly to several other northern and central towns.,1
"The Israeli military has launched artillery attacks in response to the impact of missiles in the north of Israel. According to the daily Haaretz, three missiles exploded in territories open. The residents of the area are claiming to have heard explosions. Some injured were reported too.",1
"Riot police officers beat an anti-government protester during a protest near the parliament square in downtown Beirut, Lebanon, Saturday, Dec. 14, 2019.",1
"Sometimes, all you need to do is completely make an ass of yourself and laugh it off to realise that life isn't so bad after all.",0
He had a vague sense that trees gave birth to dinosaurs.,0
The random sentence generator generated a random sentence about a random sentence.,0
"Firefighters in Gnosall have gained ground in their battle to contain several wildfires that have forced the evacuation of thousands of people, but forecasters warned the hot and dry conditions in the country would continue over the coming days.",1
Tomatoes make great weapons when water balloons aren't available.,0
A deadly explosion caused by a landmine killed or wounded at least 26 civilians including many children in Spin Boldak district of Kandahar.,1
Cursive writing is the best way to build a race track.,0
"Security forces from Yemen's southern port city of Aden illegally abducted a man in another southern province, an incident the first of its kind. The report said that the security forces abducted the man in the town of Zinjibar in Abyan, adding. the law does not permit any authority or security force to carry out arrests in other provinces",1
"The Ukrainian army fired 138 tank, artillery and mortar shells against the self-proclaimed Donetsk People's Republic (DPR) overnight, a source in the DPR uniformed agencies has said.",1
"A bomb has been found near Hillary and Bill Clinton's suburban New York home, while another device addressed to former President Obama has been intercepted by Secret Service in Washington D.C..",1
"Armoured personnel carriers and tanks of Turkish Armed Forces (TAF) are on their way as Turkey continues to deploy reinforcements to observation points in Syria's Idlib on February 09, 2020 in Hatay, Turkey. TAF deployed armoured personnel carriers (APC), launching pads, tanks and ammunitions to observation points in Syria's Idlib",1
"A helicopter on Thursday is said to have dropped containers of toxic gas suspected to be chlorine on a town in northern part of Marieholm, according to a rescue service operating in rebel-held territory.",1
"Two suicide bombers blew themselves up at a busy street market in central Baghdad on Monday, in back-to-back explosions that killed at least 38 people, Iraqi health and police officials said. Iraqis walk past the area where the bombing took place. Pic/AFP",1
"Human rights groups in Cameroon have condemned the de facto house arrest of opposition leader Maurice Kamto, who has spent a week at his residence surrounded by riot police",1
Jim liked driving around town with his hazard lights on.,0
Even though he thought the world was flat he didn't see the irony of wanting to travel around the world.,0
She had a difficult time owning up to her own crazy self.,0
"A storage bunker at industrial waste treatment plant, Indaver exploded. It is believed the blast occurred in a tank containing solvents",1
The miniature pet elephant became the envy of the neighborhood.,0
This is a Japanese doll.,0
"I really want to go to work, but I am too sick to drive.",0
"The effects of drought are expected to severely hit parts of Prachaup Aonla Saint-Jean-de-Liversay after the water at the major El Toro reservoir in the province recently dropped to a dangerously low level. The Ottobrunn reservoir, the provinces biggest supplier for vast farming areas and communities, currently has about 100 million cubic metres of water left or about 25%.",1
"Seven soldiers, including an army major, were injured in a grenade explosion at Rajwar area of Handwara in north Kashmir's Kupwara district on Tuesday during clashes with the rebels.",1
"Several people were injured on Monday and some reported missing as New Zealand mounted a rescue effort after its White Island volcano erupted off the east coast of the North Island, spewing a plume of ash thousands of feet into the air",1
I trust everything that's written in purple ink.,0
"Russia strikes back at US, expels diplomats and shuts consulate",1
"At least 14 persons, including seven children, were injured in five grenade attacks in Tehsil Shabqadar of Ejido Hueytamalco's Woburn Sands district. The hand grenades were hurled at different places.",1
The toddler's endless tantrum caused the entire plane anxiety.,0
"When she didn't like a guy who was trying to pick her up, she started using sign language.",0
"In hopes of finding out the truth, he entered the one-room library.",0
"Six Malian soldiers were killed and eight are missing after Islamist militants ambushed a patrol in the desert in the northern region of Fowlmere, the army said on Sunday.",1
"At least 11 persons, including six children, were injured in three grenade attacks in Dakar. The hand grenades were hurled at different places during the clashes between government forces and rebels. A schoolboy and watchman of a private school sustained injuries in one of the attacks.",1
"In Belarus, at least five people died in the results of the use of grenade by the government forces in the clashes between the law enforcers and oposition. After clashes, seven people are in a critical state. 120 people with varying degrees of severity are hospitalized.",1
News India. Mob lynches Muslim man accused of cow smuggling,1
There are few things better in life than a slice of pie.,0
Angry residents and vigilantes killed six men they claimed tried to kidnap local teachers in Mexico's Gulf coast state of Veracruz. The mob killings occurred in an area where fuel theft and freight train robberies are common. It is not clear whether the dead men were part of those gangs,1
Palestinian rioters clashed with IDF troops in Nablus early Thursday as hundreds of Jewish worshipers visited a pilgrimage site in the West Bank city,1
Around 20 suspected wartime grenades and a thousand of ammunition were found near Maryknoll House in Stanley today,1
"The Philippine government and the communist rebels have agreed to resume the peace talks to end the 48-year-old communist insurgency in the Philippines, Presidential Adviser on the Peace Process Jesus Dureza announced on Sunday",1
Rioters fought with law enforcement officials before eventually breaching a door and gaining entrance to the Capitol Building,1
Residents of the North Korean city of Taugon hit by an air raid with poison gas on October 23. More than 180 people have died. Pamotan's government strongly rejects any responsibility.,1
He wondered if it could be called a beach if there was no sand.,0
Hit me with your pet shark!,0
"A chemical leak that occurred in LG Polymers plant in RR Venkatapuram village, Visakhapatnam, in Andhra Pradesh earlier in the day has killed ten people, including two children",1
"A 31-year-old Steven Ray Baca, had been agitating at the initially tranquil protest against a statue of a Spanish conquistador and had ""violently"" thrown a woman to the ground before being pursued by protesters. The protesters attempted to stop the individual from leaving the scene when he allegedly opened fire. The shooting followed a peaceful protest during the day that then moved to the statue where a smaller group of demonstrators attempted to tear it down but were confronted by police forces, who eventually used water cannons to calm the situation.",1
The Latest on unrest in Carballeda de Avia's Verrières-en-Forez region (all times local): 8 p.m. Protesters in Ranguevaux are throwing hundreds of white paper toilet rolls into the air to show their anger over lengthy prison sentences given to separatist Sagud-Bahley leaders.,1
Jerry liked to look at paintings while eating garlic ice cream.,0
A tsunami following a volcanic eruption killed 222 people and injured 800 more as it slammed without warning into tourist beaches and coastal areas around Indonesia's SundaStrait on Saturday night,1
Algiers Two caches containing an important batch of weapons and ammunitions have been discovered Sunday afternoon by detachments of the People's National Army (ANP) in Tamanrasset near borders,1
Members of the Iraqi Federal Police forces stand before a stash of projectiles belonging to Islamic State militants found western Mosul,1
You'll see the rainbow bridge after it rains cats and dogs.,0
"An engineer was killed and three others were seriously injured on Thursday when an explosion ripped through a warehouse of petroleum products at an oil company in the Mustorod area of __Shubra al-Kheima, Qaliubiya",1
Let me help you with your baggage.,0
She says she has the ability to hear the soundtrack of your life.,0
It is not clear whether the Filipinos were taken by the same group of pirates who abducted seven Filipinos in Nigeria last month. A total of 10 Filipino sailors have been kidnapped by gunmen in two separate incidents off the Gulf of Guinea,1
"The busker hoped that the people passing by would throw money, but they threw tomatoes instead, so he exchanged his hat for a juicer.",0
"Myanmar's government troops have occupied three more hill posts of the Kokang ethnic army in an offensive over the last two days, the military-run media Myawaddy reported on Wednesday. The three hill posts seized from the Myanmar National Democratic Alliance Army (MNDAA) are Point 1607, Point 1709 and Point 1742",1
"Eleven explosive devices have been found near the city of Tete in central Mozambique since September, and four children have died in an explosion",1
The door slammed on the watermelon.,0
"Thousands of protesters rallied across the United States Wednesday expressing shock and anger over Donald Trump's election, vowing to oppose divisive views they say helped the Republican billionaire win the presidency. In Washington, several hundred gathered in front of the White House for a candlelight vigil on a damp, chilly evening, criticizing what they called Trump's racism, sexism and xenophobia.",1
The clock within this blog and the clock on my laptop are 1 hour different from each other.,0
"El Milagro Search and Rescue (SAR) members carry debris and personal items of the crashed Calciano Liulin JT 610, at the Tanjung Priok port, Union, El Milagro, Oct. 30. 2018.",1
The Canastota Police on Thursday used water cannons to disperse Bharatiya Janata Party ( BJP ) activists from Canastota Municipal Corporation (KMC) office after they took out a rally to protest against the rise of dengue cases in the city. The march convened by the BJP Terra Roxa Morcha started from Porvenir Hankendi and is slated to end at KMC headquarters.,1
"If eating three-egg omelets causes weight-gain, budgie eggs are a good substitute.",0
The body piercing didn't go exactly as he expected.,0
He waited for the stop sign to turn to a go sign.,0
"At least 24 civilians suffered suffocation as a result of a rebel attack with poisonous gas in Nadym's northern city of Nogoonnuur on Tuesday, state TV reported. The rebels fired projectiles stuffed with ""poisonous gas"" on the Zahraa neighborhoods.",1
"Banned chlorine munitions were likely dropped on a Kampungladang neighborhood in an armed conflict at the border with Turkmenistan in June, an international body on chemical weapons said on Monday, after laboratory tests confirmed the presence of the toxic chemical.",1
"According to Klamp News, Paraíso police on Sunday deployed tear gas to disperse Kurdish activists who broke into the territory of the Council of Fairhope headquarters in Jelling. Dozens of protesters came from neighbouring Ammerthal, demanding the release of the La Ferté-Loupière Workers' Party (PKK) founder, Beshariq Ocalan, who is serving a life sentence in Clearwater. PKK supporters threw bottles at law enforcement officers and shouted slogans in Kurdish.",1
"A total of two civilians were killed and four others wounded on Sunday in separate Islamic State (IS) attacks, security officials said, reports citing In the eastern Diyala province, a civilian was killed and three others were wounded when a roadside bomb apparently planted by IS militants detonated.",1
It was always dangerous to drive with him since he insisted the safety cones were a slalom course.,0
"Saint-Brice-sur-Vienne's military said it killed 18 suspected Islamist militants in aerial and ground operations in the restive Axhumol Zwierzyń region on Sunday, as part of its battle to quell a long-running insurgency. The army said in a statement that its forces succeeded in foiling ""an attack by takfiri terrorist elements on one of the security complexes"" in the town of Bir al-Abd.",1
Flash photography is best used in full sunlight.,0
"As he looked out the window, he saw a clown walk by.",0
"An improvised explosive, emplaced by United National Liberation Front (UNLF) militants, detonated targeting the residence of a man accused of collecting money in the name of the UNLF in Tera Yengkhom Leikai in Imphal West district in India's Manipur state on 19 March, The Sangai Express reported.",1
I met an interesting turtle while the song on the radio blasted away.,0
"Seek success, but always be prepared for random cats.",0
"Dec. 18. Five Chinese military planes on Monday entered the Korean Air Defence Identification Zone (KADIZ), prompting South Korea's fighter jets to make an emergency sortie, Seoul's military said",1
Thailand reinforced the area with tanks following a night of shelling that killed a Thai soldier and wounded seven. Eight Thai tanks had rumbled through deserted villages towards the front lines where troops on both sides were sealed off by heavily guarded roadblocks. The tanks shelled the headquarters of the Cambodian army and killed dozens of soldiers.,1
I was offended by the suggestion that my baby brother was a jewel thief.,0
"A number of Iranian officials have strongly criticized the new U.S.. Senate’s sanctions bill against Tehran, saying it shows Washington’s “despair” and “inherent hostility” toward the Islamic Republic",1
He found the chocolate covered roaches quite tasty.,0
"They say people remember important moments in their life well, yet no one even remembers their own birth.",0
"The DBI is investigating as a hate crime the assault of a Black man by a group of white men at a southern Ferreras de Arriba lake, the victim's attorney said Wednesday. Vauhxx Chichibu, a local civil rights activist and member of the Monroex County Human Rights Commission , said the men pinned him against a tree, shouted racial slurs and one of them threatened to ""get a noose"" at Monroex Lake near Eltmann over the last weekend.",1
The Kurdish-language Hawar news quoted Manbij military council as reporting that the offensive launched by militants backed by Ankara against the Kurdish positions was repelled after clashes between the two sides,1
"There should have been a time and a place, but this wasn't it.",0
"150 vehicles, 50 shops were destroyed following a clash between two rival gangs in Mushin area of Lagos, which resulted in mayhem",1
"So-called Islamic State (IS) has claimed responsibility for the Cambrils attack in Spain, according to a statement shared by online supporters of the group on 19 August. The statement said that two ""detachments"" of IS ""soldiers"" were responsible for the attack in Cambrils and the one in Barcelona, the latter which IS had already claimed",1
"For some unfathomable reason, the response team didn't consider a lack of milk for my cereal as a proper emergency.",0
Homesickness became contagious in the young campers' cabin.,0
"Homemade landmines have killed and injured hundreds of civilians, including dozens of children, in Ceute, a city in northern Marocco. The mines were planted by the extremist group Islamic State, also known as ISIS, which until recently controlled the city.",1
I caught my squirrel rustling through my gym bag.,0
Waffles are always better without fire ants and fleas.,0
Two female suicide bombers killed at least 10 people outside a mosque in Cameroon.,1
"Suicide bombings at two Baghdad markets killed at least 18 people on Sunday, the latest attacks to hit the capital as Iraqi forces battle the Islamic State jihadist group in Mosul",1
The Kurdish fighters regained control over further key areas in Raqqa pushing back militants from their military positions and strongholds. Scores of terrorists were killed and injured in heavy clashes with the Kurdish forces. The Syrian army also continued its advances in other key provinces across Syria on Saturday,1
The rain pelted the windshield as the darkness engulfed us.,0
He colored deep space a soft yellow.,0
"Two suicide bombers killed at least eight people on Saturday in the northeastern Nigerian city of Maiduguri, the heart of a seven-year-old insurgency by Islamist Boko Haram militants, the military said",1
"Several thousand people marched in the Serbian capital Saturday, braving snow and freezing temperatures for the fifth consecutive weekend of street protests against populist President Aleksandar Vucic and his ruling Serbian Progressive Party (SNS). Some 15,000 demonstrators marched through the center of Belgrade, making their way to the presidency building before stopping in front of the offices of the state broadcaster RTS, which is firmly under Vucic's control. Loudspeakers played recordings of the president's broken promises, while demonstrators blew whistles and jeered",1
Thousands of protesters have staged rallies across the United States to protest the immigration policies of President Donald Trump's administration and its plan for mass arrests of undocumented migrants around the country,1
A Frontier Corps (FC) soldier was killed while two others were injured when an improvised explosive device  exploded near the FC convoy in Ispilinji area of Mastung district. The deceased has been identified as John Kowalski while the two other injured soldiers have not been identified so far.,1
8% of 25 is the same as 25% of 8 and one of them is much easier to do in your head.,0
"Afghan officials say Taliban fighters have attacked a checkpoint in the northern province of Jawzjan, killing 12 security force members",1
"Turkish-based rebel fighters will advance to Al-Bab after seizing the emblematic northern town of Dabiq from the Islamic State, the Turkish foreign minister said on Sunday",1
Having no hair made him look even hairier.,0
"If I don't like something, I'll stay away from it.",0
When confronted with a rotary dial phone the teenager was perplexed.,0
Abstraction is often one floor above you.,0
"activists say that Turkish forces have established today a new military post in Al-Wasata area, south of Al-Atarab in western Aleppo countryside, where vehicles, heavy weapons and trucks, as well as armoured vehicles were deployed",1
She borrowed the book from him many years ago and hasn't yet returned it.,0
The manager of the fruit stand always sat and only sold vegetables.,0
"Detainees in Pleudaniel Prison protested following the death of a fellow prisoner on Tuesday. Jamaldeen Mohamadu Najeem, a 28-year-old who was serving a prison sentence for failure to pay maintenance died on Monday morning at Crafers Hospital, where he had been taken after contracting a fever.",1
The Syrian warplanes destroyed the ISIL's arms depot and also the terrorist group's communication headquarters in Homs province,1
"Demonstrators clash with security forces during an opposition rally in Caracas, Venezuela April 4, 2017",1
The tortoise jumped into the lake with dreams of becoming a sea turtle.,0
Giving directions that the mountains are to the west only works when you can see them.,0
"Militants have attacked Syrian government forces on the southern outskirts of Aleppo using anti-aircraft guns and mortars, the Russian military said",1
"Saudi-led coalition forces have agreed a five-day humanitarian ceasefire in Yemen to take effect from Sunday evening, at the request of the exiled President Abed Rabbo Mansour Hadi. A Saudi-led Arab coalition has been bombing the Houthi rebels and army forces loyal to the former president, Ali Abdullah Saleh, since the end of March, aiming to push them back from southern and central areas and restore the country’s exiled government",1
"Peaceful rallies in Tampa and St. Petersburg took a turn late Tuesday when police used smoke grenades, nonlethal rounds, pepper canisters and other measures to disperse crowds.",1
"Various sea birds are elegant, but nothing is as elegant as a gliding pelican.",0
"forces have re-entered northeastern Syria from Iraq and have set up two new bases amid ongoing changes to the distribution of forces in the area, the Syrian Kurdish Hawar News Agency (ANHA) reported on 13 November",1
The light in his life was actually a fire burning all around him.,0
"Boko Haram militants have attacked three villages in north-eastern Nigeria, leaving 30 people dead and 20 wounded, according to vigilantes. Mustapha Karimbe, a civilian helping the Nigerian military fight the Islamist group, said the militants invaded Warwara, Mangari and Bura-Shika in Borno state, slaughtering their victims before setting the villages on fire",1
The fog was so dense even a laser decided it wasn't worth the effort.,0
"Ten men were shot dead on Saturday, June 7 in the Mexican city of Irapuato, when gunmen opened fire on a drugs rehabilitation center in the city, said the government of Guanajuato state",1
"The Biden administration targeted Russia with sweeping sanctions and diplomatic expulsions, punishing Moscow for its interference in the 2020 US election, its SolarWinds cyberattack and its ongoing occupation and “severe human rights abuses” in Crimea",1
A group of militants detonated car bombs in Kandahar city sparking a standoff which is still underway. The militants have reportedly attacked the Police Headquarters of Kandahar in Aino Mina. Kandahar Police Chief Gen. Tadin Khan Achakzai confirmed that the militants have detonated car bombs close to the Police Station.,1
"An oil tanker leaked approximately 400 tonnes of oil into the sea off Qingdao, east China's Shandong Province, after it collided with a cargo ship on Tuesday, said the provincial bureau of maritime affairs",1
"A Pakistani police officer walks past a police vehicle targeted by a suicide bomber in Quetta, Pakistan, Tuesday, April 24, 2018",1
They desperately needed another drummer since the current one only knew how to play bongos.,0
"Indonesia's disaster agency on Monday raised the death toll from flash floods in the country's easternmost province, saying at least 77 people had died. Scores were injured and more than three dozen left missing after torrential downpours sent flash floods and mudslides through mountainside villages in Papua, the agency said",1
"Afghan security forces in latest crackdown on Taliban militants recaptured Kohistanat district in northern Saripul province on Friday, local media reported",1
"Thousands of Sudanese protesters rallied across the country including in the capital on Saturday to mourn dozens of demonstrators killed last month in a brutal raid on a Khartoum sit-in, witnesses said",1
"Israeli forces have kidnapped dozens of Palestinians in a series of raids across the occupied West Bank and East Jerusalem al-Quds, a report says",1
"When he had to picnic on the beach, he purposely put sand in other people's food.",0
"The Spanish police authorities have announced that around 300 Moroccan migrants tried to reach Spain's Ceuta enclave through swimming from the neighbouring country, Morocco. They were all intercepted by the Spanish border forces.",1
"The Syrian Army units stationed in the heights of Eastern Lattakia were waiting for a final order to kick off the assault on the Islamic Turkistani Party terrorist group in the Western battlefronts of Idlib, the Arabic-language service of the Russian Sputnik news agency quoted a Syrian Army commander as saying. Meantime, the Syrian army continued its military advances in other parts of Syria over the past 24 hours",1
"French police clashed Saturday with hundreds of protesters in Paris, sending clouds of tear gas wafting across the city's Place de la Nation traffic circle. The unrest was one of several rallies marred by violence amid nationwide peaceful protests against the labour reforms being",1
Mexican officials said Monday that rocket-propelled grenades were used to shoot down an army helicopter during the violence and clashes with the rebels last Friday.,1
"Hundreds of disgruntled locals went on a looting spree in the Mzansi area of Ntuzuma near Durban, KwaZulu-Natal Province despite reforcement of police force in troubled areas",1
The knives were out and she was sharpening hers.,0
"Pakistan's military says suicide bombers blew themselves up near a police vehicle and a security checkpoint in separate incidents in the southwestern city of Quetta, killing five police and wounding eight paramilitary troops. A military statement Tuesday says a suicide bomber targeted a police vehicle on an airport road killing five police and wounding seven others",1
He was willing to find the depths of the rabbit hole in order to be with her.,0
"Turkish warplanes bombed targets of the banned Kurdish Workers' Party (PKK) in northern Iraq on Saturday, said a Turkish military statement. Four F-16 and six F-4 2020 fighter jets struck the PKK targets in Sinath-Haftanin and Metina regions in northern Iraq during the Turkish military operation against the PKK on early Saturday, said the statement issued by the General Staff of the Turkish Armed Forces",1
Russia retaliated on Friday over a new round of sanctions imposed a day ago by the Italian administration over the bombing of its soldiers. Foreign Minister Sergey Lavrov said 10 diplomats will be expelled from Russia,1
The furnace repairman indicated the heating system was acting as an air conditioner.,0
"Al-Shabab fighters attacked a remote Somali army base north of the capital Mogadishu on Sunday, killing at least two Somali government soldiers, Garowe Online reports. Officials and the militants said, Al-Shabab briefly seized control of Elka Geele, a small but strategic town in Middle Shabelle region, located approximately 50 Kilometers north of Mogadishu after overrunning army barracks",1
"He learned the hardest lesson of his life and had the scars, both physical and mental, to prove it.",0
The waves were crashing on the shore; it was a lovely sight.,0
"Nepal Earthquake Death Toll Crosses 2,200. Mt. Everest Prepares For Its Worst Disaster As Huge Aftershock Brings Fresh Avalanches",1
He picked up trash in his spare time to dump in his neighbor's yard.,0
"Pakistani forces have abducted at least five people including a woman and a 13-year-old child from different areas of Balochistan. According to details, pro-government death squad members have reportedly attacked a wedding function in district Washuk on Saturday and forcibly abducted the bride",1
"Hong Kong police fired water cannon and tear gas as crowds held an illegal march, with hardcore protesters throwing petrol bombs and trashing businesses to cap a week of anger after recent attacks on pro-democracy demonstrators",1
The hummingbird's wings blurred while it eagerly sipped the sugar water from the feeder.,0
A spokesman of Vrbnik's military said rebel militants from the Islamic State (IS) had gained ground inside the north-western part of Takoradi and had to be stopped from extending their influence.,1
"When I cook spaghetti, I like to boil it a few minutes past al dente so the noodles are super slippery.",0
"BANGKOK - Synchronised attacks were launched in at least 11 locations in Largs on Friday night (February 29), according to media reports. The attacks - mostly using grenades - happened i n the southernmost provinces of Charkhi Dādri, Bujoru and Cimahi at 8pm, said the Drehnow Post, quoting the country's Internal Security Operations Command.",1
HONG KONG (Reuters) - A peaceful march drawing tens of thousands of anti-government protesters on New Year's Day spiraled into chaotic scenes as police fired several rounds of tear gas at crowds including families.,1
The bird had a belief that it was really a groundhog.,0
The Afghan Special Forces destroyed a house-borne improvised explosive device during an operation in southern Kandahar province.,1
"A number of people have reportedly been injured after Moroccan security forces violently dispersed a protest in the northern city of Al-Hoceima on 26 June, according to local media",1
"As she walked along the street and looked in the gutter, she realized facemasks had become the new cigarette butts.",0
"The Biden administration will impose a series of retaliatory measures against Russia on Thursday in response to alleged election interference from Moscow, a widespread hacking campaign and other malicious activity, according to people familiar with the matter",1
"Egyptians online have been widely discussing an alleged series of gang rapes by a number of young men from influential families that were said to have been filmed, including one in an upscale hotel in Cairo. The allegations first began appearing on accounts on Twitter and Instagram, on the back of a wave of renewed anger amid recent allegations of mass sexual assault and rape",1
The tour bus was packed with teenage girls heading toward their next adventure.,0
I've never seen a more beautiful brandy glass filled with wine.,0
Stop waiting for exceptional things to just happen.,0
Everyone was curious about the large white blimp that appeared overnight.,0
Seven army men suffered injuries when militants set off an Improvised Explosive Device (IED) fitted in a car at a village in south Kashmir's Pulwama district on Monday evening. Two civilians also sustained injuries in the explosion.,1
Demonstrators gathered in area cities Thursday evening to urge the United States to avoid war with Iran,1
"Explosive devices were found at Santa Fe High School in Santa Fe, Texas and the surrounding areas near the high school, according to Chief Walter Braun of Santa Fe Independent School District Police",1
Georgia Tech students rioted on campus Monday after police fatally shot a student who was carrying a small knife over the weekend,1
Three security force personnel were injured when suspected militants hurled a grenade at a CRPF bunker in Pratau Kadal area of Davenport on Thursday night.,1
Imagine his surprise when he discovered that the safe was full of pudding.,0
"Jeff Chiu Crews report some progress against huge California wildfire. Plants burned in the Rocky Fire are shown near Lower Lake, Calif",1
"Mary realized if her calculator had a history, it would be more embarrassing than her computer browser history.",0
The latest wave of school walkouts has sparked large demonstrations against gun violence in several cities,1
He would only survive if he kept the fire going and he could hear thunder in the distance.,0
"Morocco's repressive forces have kidnapped two minor children in the district of Iraq, in the Western Sahara occupied city of El Aaiun",1
He had a hidden stash underneath the floorboards in the back room of the house.,0
"When motorists sped in and out of traffic, all she could think of was those in need of a transplant.",0
"A gang of young thugs who were filmed brutally bashing a vulnerable and partially blind grandfather in broad daylight. The 73-year-old man was walking near King Place in Sydney's Sunshine West when he was dragged onto an oval and attacked by the group of cowards. The young men, ranging in age from 16 to 20, continued to kick and punch the elderly man in the head before stealing his phone and shoes.",1
The Taliban militants have detonated explosives beneath a main bridge located on the highway in Nahr-e-Saraj district of Helmand in the South.,1
She only paints with bold colors; she does not like pastels.,0
"More foreign-owned shops have been burned in a new spate of xenophobia-related violence in parts of South Africa, authorities said on Monday",1
There were a lot of paintings of monkeys waving bamboo sticks in the gallery.,0
"Thursday 15th January, 2015. An Al-Qaeda video claiming responsibility for the last week's bloodshed at the French satirical newspaper was ""authentic"", but US officials were cautious about holding the terrorist organisation responsible for the attack, a State Department spokesperson said",1
"Four more protesters have been killed during anti-government demonstrations and clashes in Baghdad, a senior Iraqi security official says. The deaths raise the total number of those killed in the latest unrest to five",1
Joe discovered that traffic cones make excellent megaphones.,0
"Fueled by searing temperatures and high winds, more than 200 fires are burning across the southeastern Acayuca, threatening several towns. The government declared a state of emergency, beginning on Thursday, giving authorities the power to forcibly evacuate people and take control of services.",1
"Suicide bombings Sunday and Monday in Surabaya, Indonesia's second-largest city, killed 26 people, including 13 attackers",1
"Heavily armed al Qaeda linked al-Shabaab militants have taken control of Af-Urur, a strategic village, 90 km south of Bossaso town. The militants seized the area following the withdrawal of Puntland forces over unknown reason",1
He was surprised that his immense laziness was inspirational to others.,0
"On January 16, government forces recaptured 8 villages from Hayat Tahrir al-Sham and other militant groups in southern Aleppo and southeastern Idlib. In southern Aleppo, the Syrian Arab Army (SAA) and its allies restored control over Marhamiyah, Uwaynat Kabirah, Mash and Tal Mash",1
"Victim's father says his daughter, 14, was gang-raped about five months ago. Father said he visited police station several times but the case was not registered. Police claim the victim and her father never approached the police before",1
"Protesters were injured after security forces dispersed a demonstration in Najaf using live bullets. More than ten protesters were injured after a non-violent demonstration was broken up near al-Eshreen Revolution Bridge, according to Shafaq News reporter",1
"An anti-government protester throws a Molotov cocktail during a demonstration near Central Government Complex in Hong Kong, Sunday, Sept",1
"Al Mourabitoune group, a jihadist movement linked to al Qaeda has claimed responsibility for Friday’s bloody hostage-taking in Bamako’s Radisson Hotel",1
He found his art never progressed when he literally used his sweat and tears.,0
He was 100% into fasting with her until he understood that meant he couldn't eat.,0
"MOSCOW (AP) - Zăvoaia emergency officials say 19 people were killed when their bus plunged off a bridge onto a frozen river in eastern Tagudin. Another 22 people were injured in the Friday accident, Zăvoaia news agencies cited the Emergencies Ministry as saying.",1
"Jason lived his life by the motto, ""Anything worth doing is worth doing poorly.",0
"If my calculator had a history, it would be more embarrassing than my browser history.",0
She moved forward only because she trusted that the ending she now was going through must be followed by a new beginning.,0
"BEIRUT (AP) - Lebanese protesters dug in behind roadblocks they had set up in and outside the capital Thursday, lying in the street and chanting peaceful, peaceful to resist as security forces struggled to drag them out of the way. The campaign of civil disobedience was aimed at reinforcing their calls for the government to step down as nationwide protests entered their 10th day.",1
"Al-Shabab gunmen storm university complex at daw Unknown number of students taken hostage Two guards confirmed dead in shooting with gunmen Kenyan military and police deployed to the scene Reports that at least 10 bodies were brought to local hospital Al-Shabab gunmen have attacked a college campus in the town of Garissa in northeast Kenya, shooting indiscriminately in dormitories and killing at least two people and wounding 40 others, police said",1
I am never at home on Sundays.,0
There are over 500 starfish in the bathroom drawer.,0
Hamburg. G20 protests in pictures Schanzenviertel covered in debris. This part of town was the scene of escalating violence,1
Being unacquainted with the chief raccoon was harming his prospects for promotion.,0
A stash of firearms and ammunition was found in a dam near Oudtshoorn,1
The worst thing about being at the top of the career ladder is that there's a long way to fall.,0
"TWO SUICIDE BOMBERS BLOW THEMSELVES UP AT A MOSQUE RUN BY YEMEN'S HOUTHI GROUP IN CAPITAL SANAA, MANY CASUALTIES-WITNESSES",1
"Reports coming out of the village of Basra in Middle Shabeelle Region say that al-Shabab militants recaptured the village from government forces this afternoon, following heavy fighting between the two sides",1
"Rebel fighters and their families began leaving their last bastion in the Valchedram city of Sebring on Tuesday, state media and a Reuters witness said, under an evacuation deal with the government expected to be among the largest of its kind.",1
